,team,teamkpm,dpm,wpm,vspm,gpm,cspm,dtpm,wcpm,dmpm,deaths,dragons,towers,visionscore
0,Nongshim RedForce,0.3571911392405063,1905.5493670886076,3.6313772151898736,7.930240506329114,1084.0789746835444,32.92741898734177,2920.8937518987345,1.8183708860759493,2608.506651898734,12.632911392405063,2.2531645569620253,5.430379746835443,267.7848101265823
1,DWG KIA,0.46768857142857145,2145.8444571428568,3.7570752380952377,8.27350380952381,1207.9232695238095,33.72138380952381,2834.0951199999995,1.7401533333333334,2638.3201895238094,11.447619047619048,2.8095238095238093,7.514285714285714,272.06666666666666
2,Suning,0.4701956521739131,1969.7886797101455,3.827210144927536,,1171.4076449275362,,2798.6094434782603,1.6686768115942032,,10.579710144927537,2.3333333333333335,5.913043478260869,
3,EDward Gaming,0.5100708333333333,2015.1234458333336,3.3211375000000003,,1217.8418430555555,,2700.4605180555554,1.5974902777777777,,9.666666666666666,2.8472222222222223,7.222222222222222,
4,Oh My God,0.3652196721311476,1858.6273245901639,3.1694770491803284,,1054.7889229508196,,2954.8126622950817,1.4360573770491802,,14.491803278688524,1.9180327868852458,4.245901639344262,
5,ANEW Rising,0.5839000000000001,2208.9179777777777,2.827627777777778,6.545344444444445,1156.077338888889,30.68886111111111,3102.927677777778,1.0610111111111111,2887.7169166666663,15.277777777777779,2.6666666666666665,6.555555555555555,215.0
6,Mirage Sport Électronique,0.6568849999999999,2149.7069725,2.435915,5.323852499999999,1127.0394199999998,29.4742475,2973.1133825,0.8520099999999999,2459.8810525,17.125,1.975,4.875,152.225
7,Supernova,0.6085141304347826,2147.5795684782606,2.676430434782609,6.317438043478259,1154.711640217391,30.59737173913043,3050.0797206521743,1.0641271739130433,2508.900089130435,16.391304347826086,2.130434782608696,5.771739130434782,187.67391304347825
8,ConViction,0.5488477611940297,1963.5987119402982,2.4567522388059704,5.953082089552239,1095.3502358208957,29.675064179104478,3165.140685074627,0.9822462686567165,2644.467297014925,17.761194029850746,1.9850746268656716,4.641791044776119,170.01492537313433
9,Cloud9 Amateur,0.6169385542168674,2170.2463674698797,2.7881506024096385,6.697666265060241,1158.5143457831325,30.174553012048193,3087.2857771084336,1.2031915662650603,2672.9622915662653,16.566265060240966,2.36144578313253,5.578313253012048,204.0120481927711
10,SolaFide Esports,0.58760625,2241.4045781249997,2.87066875,6.699084375,1214.04155625,32.014179687500004,3081.2511750000003,1.185775,2770.5037796875,13.40625,2.4375,7.453125,215.21875
11,Super Sunshine Fruit Basket Warriors,0.5976928571428572,2353.7784642857146,2.6333357142857143,6.337535714285715,1142.6210142857142,29.919099999999997,3536.1843499999995,1.0599214285714285,2677.4279714285717,21.785714285714285,1.8571428571428572,6.071428571428571,191.85714285714286
12,ANEW Blaze,0.6114666666666666,2269.6465222222223,2.6642333333333337,6.078519444444445,1180.077877777778,31.303972222222228,3166.4516916666666,1.1028166666666668,2831.634433333333,16.416666666666668,2.1666666666666665,6.083333333333333,183.58333333333334
13,Rogue Warriors,0.2933912280701755,1683.2031122807016,3.1759087719298247,,970.087956140351,,2922.301219298246,1.4157526315789475,,16.771929824561404,1.3859649122807018,2.754385964912281,
14,Team WE,0.4525112903225807,1964.2774354838712,3.2180612903225803,,1160.9917596774194,,2828.7977887096768,1.6298112903225808,,12.870967741935484,2.2903225806451615,6.193548387096774,
15,JD Gaming,0.5028508474576271,2078.6754423728817,3.344723728813559,,1209.0527542372881,,2840.683505084746,1.5707966101694915,,12.983050847457626,2.559322033898305,6.3559322033898304,
16,Bilibili Gaming,0.3944848484848485,1947.1542560606063,3.313643939393939,,1132.672143939394,,2937.1392818181816,1.5186424242424246,,13.878787878787879,2.196969696969697,6.0606060606060606,
17,Royal Never Give Up,0.5360436893203884,1996.8622,3.5582407766990287,,1229.1040514563106,,2784.454898058252,1.6817912621359226,,12.533980582524272,2.4466019417475726,6.990291262135922,
18,CowBoySquad Imperials Esports,0.47168000000000004,2009.5191914285715,2.615642857142857,5.756468571428572,1012.3016742857142,28.265125714285716,3242.4235114285716,0.9338371428571427,2709.105782857143,22.228571428571428,1.8,3.6857142857142855,178.11428571428573
19,KV Mechelen Esports,0.5754147058823529,2022.897455882353,2.855276470588235,6.798014705882353,1190.136973529412,30.951050000000002,3045.164544117647,1.2328058823529409,2564.699620588235,12.705882352941176,2.911764705882353,7.147058823529412,216.85294117647058
20,Ion Squad,0.43678518518518517,1937.5892925925928,2.6805074074074073,6.647011111111111,1068.5121,30.241581481481482,2787.0803074074074,1.2163148148148148,2428.5351,15.592592592592593,2.6296296296296298,5.555555555555555,223.37037037037038
21,Rejects Gaming,0.5475333333333333,2439.9410000000003,2.7412000000000005,6.090566666666667,1062.3513333333333,29.639433333333333,3221.8254666666667,1.0869,3312.122066666667,20.333333333333332,1.3333333333333333,2.6666666666666665,195.66666666666666
22,Sector One,0.5426500000000001,2111.1045624999997,2.906809375,6.618253125,1206.0134874999999,32.567831250000005,2936.38509375,1.1162281250000001,2568.2219031249997,13.25,2.5625,7.5625,213.34375
23,4Elements Esports,0.3802692307692307,1781.1293076923077,2.7948384615384616,6.018876923076922,1031.227476923077,31.526276923076924,2923.1546153846157,1.0287692307692307,2397.585284615385,15.692307692307692,2.3076923076923075,3.6153846153846154,185.23076923076923
24,Wichita Wolves,0.6257361111111112,2292.8986722222226,2.7330500000000004,6.384669444444445,1132.341811111111,28.60912222222223,3247.378863888889,1.0025305555555557,2781.933022222223,20.194444444444443,2.1666666666666665,5.666666666666667,205.25
25,Dawn Esports,0.6450684210526316,2366.7770684210527,2.1914105263157895,5.370963157894737,1124.3627315789474,28.662628947368418,3550.2042315789463,0.8647947368421053,2624.7358842105264,23.710526315789473,1.6578947368421053,4.921052631578948,152.23684210526315
26,Mirage Élite,0.60060625,2311.82680625,3.026475,6.20761875,1089.493475,29.27044375,3308.7214812499997,0.99486875,2783.5309500000003,19.375,2.1875,4.5625,198.1875
27,Peak Performance Y,0.379,1846.9159499999998,2.5548,5.9110499999999995,1005.23455,29.8338,3120.148983333333,1.0924333333333334,2424.0529333333334,26.333333333333332,0.8333333333333334,3.3333333333333335,179.33333333333334
28,Team Clarity,0.5845782608695653,2234.454204347826,2.7295000000000003,6.4916782608695645,1117.5273304347827,28.983578260869564,3162.737360869565,1.0524782608695653,2765.010778260869,19.82608695652174,1.9565217391304348,5.260869565217392,206.56521739130434
29,ReDefy Esports,0.5317000000000001,2365.2707434782606,2.5559347826086953,5.629147826086957,1058.199,28.63644347826087,3517.9150173913044,0.8769130434782609,3084.069573913043,22.82608695652174,1.9130434782608696,3.652173913043478,170.34782608695653
30,Evil Geniuses Prodigies,0.5900489130434783,2061.644819565217,2.777275,6.329498913043479,1165.7335054347825,31.289029347826084,3044.9085130434783,1.0998065217391306,2555.8145163043473,15.141304347826088,2.0,5.760869565217392,184.4673913043478
31,Sign Us Please,0.754890909090909,2332.995172727273,2.6864,6.2258818181818185,1254.2709545454545,29.34469090909091,3041.887663636364,0.8524363636363635,2293.5986090909096,16.636363636363637,2.6363636363636362,7.2727272727272725,170.1818181818182
32,Wildcard Gaming Developmental,0.6468529411764705,2232.4488088235294,2.2112676470588233,5.488344117647059,1104.0282,28.458229411764705,3215.8223617647054,0.8437676470588235,2402.2431529411765,20.294117647058822,2.235294117647059,4.205882352941177,155.6764705882353
33,Crystal Cave Gaming Emerald,0.5311909090909092,2052.843809090909,2.622775757575758,5.744363636363636,1047.1873090909091,28.963575757575757,3345.3990575757575,0.8646878787878788,2688.3518393939394,21.515151515151516,1.6666666666666667,2.8484848484848486,166.75757575757575
34,Chilly Mountain Wolves,0.5645333333333332,2135.689375,2.6954,5.863966666666667,1036.5486583333334,28.800458333333335,3309.4137250000003,1.0067583333333334,2543.8653333333336,18.666666666666668,1.25,3.6666666666666665,163.16666666666666
35,Striking Vipers,0.48684285714285713,1789.9551714285715,2.7004542857142857,5.7988857142857135,1009.1430485714285,29.67448,3297.774154285714,0.9863885714285717,2570.6785971428576,19.228571428571428,1.7142857142857142,2.942857142857143,153.25714285714287
36,Winthrop University,0.5661274193548388,2165.1439354838703,2.879517741935484,6.850648387096774,1116.2695177419355,29.655303225806456,3108.8579629032265,1.2603612903225805,2726.880927419355,17.048387096774192,2.5161290322580645,5.838709677419355,220.24193548387098
37,Peak Performance X,0.49702500000000005,1959.8256125,2.3813874999999998,5.908849999999999,997.5560625,28.677325,3298.0254625,0.929,2431.7561625,23.25,1.125,1.75,172.0
38,100 Thieves Next,0.57360625,2020.288914583333,2.598479166666667,6.270058333333334,1097.55903125,29.63858333333333,3072.4962625000003,1.0507833333333334,2440.254841666667,15.833333333333334,1.9791666666666667,5.083333333333333,181.45833333333334
39,Wildcard Gaming,0.6308118644067798,2228.398889830509,2.9655016949152544,6.609303389830508,1150.2217491525423,29.46186440677966,3311.0232593220344,1.1225881355932206,2842.288052542373,19.152542372881356,2.3389830508474576,5.440677966101695,200.10169491525423
40,Barrage.NA,0.584803448275862,2004.2687643678162,3.033763218390805,6.7062701149425274,1161.2633781609195,31.09936551724138,2968.2482816091956,1.1093402298850574,2675.6740459770117,13.505747126436782,2.413793103448276,6.160919540229885,202.79310344827587
